SCHOOL_NAME,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL
A.R. MacNeill,Public,2018,Richmond,Gr 12 enrolment: 163,12.2,10.6,0.0,64.5,12.2,93.2,13.1,4.3
A.R. MacNeill,Public,2019,Richmond,Gr 12 enrolment: 163,12.2,10.6,0.0,66.1,11,91,16,4.3
Cambie,Public,2015,Richmond,Gr 12 enrolment: 122,9.0,11.4,0.0,65.5,15,89.1,22,4.2
Cambie,Public,2016,Richmond,Gr 12 enrolment: 122,9.0,11.4,0.0,65.5,13.4,94.5,11.4,5.4
Cambie,Public,2017,Richmond,Gr 12 enrolment: 122,9.0,11.4,0.0,66.1,9.9,94.8,15.9,6.1
Cambie,Public,2018,Richmond,Gr 12 enrolment: 122,9.0,11.4,0.0,63.4,17.6,89.3,16,3.2
Cambie,Public,2019,Richmond,Gr 12 enrolment: 122,9.0,11.4,0.0,67.8,4.4,96.3,11.8,6.6
Hugh Boyd,Public,2015,Richmond,Gr 12 enrolment: 157,10.2,17.1,0.0,69,10.9,93.3,21.4,5.5
Hugh Boyd,Public,2016,Richmond,Gr 12 enrolment: 157,10.2,17.1,0.0,69.1,10.1,91.5,22.9,5.7
Hugh Boyd,Public,2017,Richmond,Gr 12 enrolment: 157,10.2,17.1,0.0,65.1,16.8,91.4,24,4.7
Hugh Boyd,Public,2018,Richmond,Gr 12 enrolment: 157,10.2,17.1,0.0,67.7,6.7,91.2,23.9,4.7
Hugh Boyd,Public,2019,Richmond,Gr 12 enrolment: 157,10.2,17.1,0.0,67.2,12.7,94.3,16.5,4.1
Hugh McRoberts,Public,2015,Richmond,Gr 12 enrolment: 190,7.3,6.2,40.7,72,5.4,97.8,4.3,7.2
Hugh McRoberts,Public,2016,Richmond,Gr 12 enrolment: 190,7.3,6.2,40.7,72.6,6.2,98.8,6.7,7.5
Hugh McRoberts,Public,2017,Richmond,Gr 12 enrolment: 190,7.3,6.2,40.7,69.2,7.7,98.8,6.2,6.6
Hugh McRoberts,Public,2018,Richmond,Gr 12 enrolment: 190,7.3,6.2,40.7,72.3,4.8,97.6,7.4,6.7
Hugh McRoberts,Public,2019,Richmond,Gr 12 enrolment: 190,7.3,6.2,40.7,73.3,2.4,98.9,7.6,8.1
J N Burnett,Public,2015,Richmond,Gr 12 enrolment: 227,12.6,7.0,0.0,74.9,7,92.1,18.5,6.9
J N Burnett,Public,2016,Richmond,Gr 12 enrolment: 227,12.6,7.0,0.0,75.1,7.1,97.5,11.8,7.5
J N Burnett,Public,2017,Richmond,Gr 12 enrolment: 227,12.6,7.0,0.0,70.6,11.4,96.7,14.3,6.3
J N Burnett,Public,2018,Richmond,Gr 12 enrolment: 227,12.6,7.0,0.0,72.6,7.5,94.8,15.7,6.6
J N Burnett,Public,2019,Richmond,Gr 12 enrolment: 227,12.6,7.0,0.0,68.5,8.7,97.8,7.9,5.3
Matthew McNair,Public,2015,Richmond,Gr 12 enrolment: 206,5.8,13.5,0.0,66,15.5,90.2,21.7,4.4
Matthew McNair,Public,2016,Richmond,Gr 12 enrolment: 206,5.8,13.5,0.0,65,16.3,88,21.2,4.6
Matthew McNair,Public,2017,Richmond,Gr 12 enrolment: 206,5.8,13.5,0.0,63.8,19.4,91.9,21.7,3.7
Matthew McNair,Public,2018,Richmond,Gr 12 enrolment: 206,5.8,13.5,0.0,65.7,15.2,92,13.2,4.4
Matthew McNair,Public,2019,Richmond,Gr 12 enrolment: 206,5.8,13.5,0.0,68.1,9.1,91.2,14.5,5.4
R C Palmer,Public,2015,Richmond,Gr 12 enrolment: 139,15.6,8.9,0.0,72.9,8.4,96.2,20.3,6.3
R C Palmer,Public,2016,Richmond,Gr 12 enrolment: 139,15.6,8.9,0.0,72.6,7,96.4,12.5,7
R C Palmer,Public,2017,Richmond,Gr 12 enrolment: 139,15.6,8.9,0.0,69.6,7.4,98.9,16.5,7.2
R C Palmer,Public,2018,Richmond,Gr 12 enrolment: 139,15.6,8.9,0.0,72.4,4.9,96.2,13.7,7.2
R C Palmer,Public,2019,Richmond,Gr 12 enrolment: 139,15.6,8.9,0.0,74.6,1,94.3,17.1,7.5
Richmond,Public,2015,Richmond,Gr 12 enrolment: 323,16.2,4.4,0.2,74.2,4.6,97.5,15.9,7.4
Richmond,Public,2016,Richmond,Gr 12 enrolment: 323,16.2,4.4,0.2,75,5.5,97.2,15,7.3
Richmond,Public,2017,Richmond,Gr 12 enrolment: 323,16.2,4.4,0.2,68.9,6.8,98.7,11.7,6.9
Richmond,Public,2018,Richmond,Gr 12 enrolment: 323,16.2,4.4,0.2,71.9,8.1,98.3,16.2,5.8
Richmond,Public,2019,Richmond,Gr 12 enrolment: 323,16.2,4.4,0.2,71.1,4.7,97.4,9.2,5.9
Richmond Christian,Independent,2015,Richmond,Gr 12 enrolment: 80,0.0,6.3,0.0,80,3.7,100,0,8.9
Richmond Christian,Independent,2016,Richmond,Gr 12 enrolment: 80,0.0,6.3,0.0,80.8,0.8,100,0.5,9.2
Richmond Christian,Independent,2017,Richmond,Gr 12 enrolment: 80,0.0,6.3,0.0,80.5,0,98.3,4.2,9.9
Richmond Christian,Independent,2018,Richmond,Gr 12 enrolment: 80,0.0,6.3,0.0,80.9,1.5,100,1.1,9.3
Richmond Christian,Independent,2019,Richmond,Gr 12 enrolment: 80,0.0,6.3,0.0,82.2,0,98.7,2.1,9.9
Robert Alexander McMath,Public,2015,Richmond,Gr 12 enrolment: 250,3.3,6.0,35.7,73.6,3.8,96.3,9.9,7.7
Robert Alexander McMath,Public,2016,Richmond,Gr 12 enrolment: 250,3.3,6.0,35.7,73.5,3.6,95.9,13.3,7.6
Robert Alexander McMath,Public,2017,Richmond,Gr 12 enrolment: 250,3.3,6.0,35.7,71.9,7.3,96.7,7.4,6.7
Robert Alexander McMath,Public,2018,Richmond,Gr 12 enrolment: 250,3.3,6.0,35.7,70.5,4.8,97.6,4.7,6.5
Robert Alexander McMath,Public,2019,Richmond,Gr 12 enrolment: 250,3.3,6.0,35.7,72.1,2.6,98.7,6.9,7.8
Steveston-London,Public,2015,Richmond,Gr 12 enrolment: 281,12.5,5.3,0.0,74.5,5.7,97.8,10.8,7.6
Steveston-London,Public,2016,Richmond,Gr 12 enrolment: 281,12.5,5.3,0.0,74.3,7.5,96.2,11.1,7
Steveston-London,Public,2017,Richmond,Gr 12 enrolment: 281,12.5,5.3,0.0,68.9,11.5,96,11.7,6.2
Steveston-London,Public,2018,Richmond,Gr 12 enrolment: 281,12.5,5.3,0.0,71.5,16.1,93.5,13.8,5
Steveston-London,Public,2019,Richmond,Gr 12 enrolment: 281,12.5,5.3,0.0,71.2,8.1,96.6,5.9,6.2
Clayton Heights,Public,2015,Surrey,Gr 12 enrolment: 278,5.0,13.9,0.0,66.9,11.1,93.3,18.5,5.5
Clayton Heights,Public,2016,Surrey,Gr 12 enrolment: 278,5.0,13.9,0.0,66.2,11.8,91.4,12.5,5.4
Clayton Heights,Public,2017,Surrey,Gr 12 enrolment: 278,5.0,13.9,0.0,67.9,8.2,93.2,15.4,6.2
Clayton Heights,Public,2018,Surrey,Gr 12 enrolment: 278,5.0,13.9,0.0,68.1,11.3,94.9,12.9,5.5
Clayton Heights,Public,2019,Surrey,Gr 12 enrolment: 278,5.0,13.9,0.0,67.3,10.1,95.8,11,5.4
Earl Marriott,Public,2015,Surrey,Gr 12 enrolment: 317,3.1,11.3,23.5,70.3,7.2,95.1,10.4,6.6
Earl Marriott,Public,2016,Surrey,Gr 12 enrolment: 317,3.1,11.3,23.5,70.6,7.5,96.8,9.9,6.8
Earl Marriott,Public,2017,Surrey,Gr 12 enrolment: 317,3.1,11.3,23.5,71.1,5.6,96,11.2,7.2
Earl Marriott,Public,2018,Surrey,Gr 12 enrolment: 317,3.1,11.3,23.5,73.1,6.5,96,9.1,6.9
Earl Marriott,Public,2019,Surrey,Gr 12 enrolment: 317,3.1,11.3,23.5,68.4,8.4,98.3,7.8,5.9
Elgin Park,Public,2015,Surrey,Gr 12 enrolment: 261,9.5,12.0,0.0,73.5,6.9,97,5.1,7.2
Elgin Park,Public,2016,Surrey,Gr 12 enrolment: 261,9.5,12.0,0.0,73.6,6.6,98.3,3.8,7.5
Elgin Park,Public,2017,Surrey,Gr 12 enrolment: 261,9.5,12.0,0.0,70.2,10.7,98.8,4.2,7.1
Elgin Park,Public,2018,Surrey,Gr 12 enrolment: 261,9.5,12.0,0.0,70.3,8.5,96.6,4.4,6.5
Elgin Park,Public,2019,Surrey,Gr 12 enrolment: 261,9.5,12.0,0.0,71,6.9,98.7,5.8,6.7
Enver Creek,Public,2015,Surrey,Gr 12 enrolment: 282,6.9,9.8,0.0,68.8,10.4,97.1,9.1,6.2
Enver Creek,Public,2016,Surrey,Gr 12 enrolment: 282,6.9,9.8,0.0,67.5,12.7,97.4,6.4,6.1
Enver Creek,Public,2017,Surrey,Gr 12 enrolment: 282,6.9,9.8,0.0,64.8,12.4,95.3,10.2,5.1
Enver Creek,Public,2018,Surrey,Gr 12 enrolment: 282,6.9,9.8,0.0,68.9,9.8,96.7,6.2,6
Enver Creek,Public,2019,Surrey,Gr 12 enrolment: 282,6.9,9.8,0.0,67.4,8.9,98,8.2,5.5
Fleetwood Park,Public,2015,Surrey,Gr 12 enrolment: 304,9.1,9.3,0.0,71,7.9,96.8,8.4,7
Fleetwood Park,Public,2016,Surrey,Gr 12 enrolment: 304,9.1,9.3,0.0,70.3,10.3,94.6,8.3,6.5
Fleetwood Park,Public,2017,Surrey,Gr 12 enrolment: 304,9.1,9.3,0.0,69.6,7,94.6,10.2,6.8
Fleetwood Park,Public,2018,Surrey,Gr 12 enrolment: 304,9.1,9.3,0.0,70.7,10.5,97.5,5.9,6.6
Fleetwood Park,Public,2019,Surrey,Gr 12 enrolment: 304,9.1,9.3,0.0,70.3,5.2,96.8,8.9,7
Frank Hurt,Public,2015,Surrey,Gr 12 enrolment: 274,21.0,12.9,0.0,65.9,12.7,92.1,21.9,5.2
Frank Hurt,Public,2016,Surrey,Gr 12 enrolment: 274,21.0,12.9,0.0,65.3,14.1,91.7,20.3,4.9
Frank Hurt,Public,2017,Surrey,Gr 12 enrolment: 274,21.0,12.9,0.0,66.8,8.6,93.2,19.7,6.2
Frank Hurt,Public,2018,Surrey,Gr 12 enrolment: 274,21.0,12.9,0.0,68.7,10.4,91.6,26,6.2
Frank Hurt,Public,2019,Surrey,Gr 12 enrolment: 274,21.0,12.9,0.0,65.2,12.4,94.2,20.6,5.2
Fraser Heights,Public,2015,Surrey,Gr 12 enrolment: 294,6.5,9.0,0.0,72.5,7.3,96,17,6.9
Fraser Heights,Public,2016,Surrey,Gr 12 enrolment: 294,6.5,9.0,0.0,70.4,10.5,96.9,11.8,6.2
Fraser Heights,Public,2017,Surrey,Gr 12 enrolment: 294,6.5,9.0,0.0,69.1,8.9,98.5,13.6,6.7
Fraser Heights,Public,2018,Surrey,Gr 12 enrolment: 294,6.5,9.0,0.0,72.4,9.3,97.9,6.4,7.2
Fraser Heights,Public,2019,Surrey,Gr 12 enrolment: 294,6.5,9.0,0.0,72,6.6,97.4,7.4,7.1
Guildford Park,Public,2015,Surrey,Gr 12 enrolment: 288,21.1,17.6,0.0,66.1,13.3,98.2,16.6,6.1
Guildford Park,Public,2016,Surrey,Gr 12 enrolment: 288,21.1,17.6,0.0,64.2,15.7,97.3,19.6,5.3
Guildford Park,Public,2017,Surrey,Gr 12 enrolment: 288,21.1,17.6,0.0,64.6,9.5,94.8,20.2,5.7
Guildford Park,Public,2018,Surrey,Gr 12 enrolment: 288,21.1,17.6,0.0,66.2,9.3,97.8,25.1,6
Guildford Park,Public,2019,Surrey,Gr 12 enrolment: 288,21.1,17.6,0.0,64.4,12.9,94,17.8,4.9
Holy Cross,Independent,2015,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,74.1,4.4,100,0.5,7.7
Holy Cross,Independent,2016,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,73.4,2.9,97.8,3.7,7.8
Holy Cross,Independent,2017,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,71.2,3.7,99.4,1,7.7
Holy Cross,Independent,2018,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,69.6,2.9,99.3,2.8,6.4
Holy Cross,Independent,2019,Surrey,Gr 12 enrolment: 164,0.0,8.2,0.0,69.6,2.5,100,0.7,6.8
Johnston Heights,Public,2015,Surrey,Gr 12 enrolment: 320,12.7,12.8,0.0,69.1,10.4,95.3,11.5,6.3
Johnston Heights,Public,2016,Surrey,Gr 12 enrolment: 320,12.7,12.8,0.0,67.9,13.4,96.5,9.5,5.9
Johnston Heights,Public,2017,Surrey,Gr 12 enrolment: 320,12.7,12.8,0.0,69.1,6.7,97,10.3,7.4
Johnston Heights,Public,2018,Surrey,Gr 12 enrolment: 320,12.7,12.8,0.0,71.6,10.5,94.8,13.6,6.7
Johnston Heights,Public,2019,Surrey,Gr 12 enrolment: 320,12.7,12.8,0.0,70,6.5,97.6,10,7
Khalsa,Independent,2015,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,n/a,n/a,n/a,n/a,n/a
Khalsa,Independent,2016,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,68.9,3.9,100,21.4,6.9
Khalsa,Independent,2017,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,n/a,n/a,n/a,n/a,n/a
Khalsa,Independent,2018,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,66.1,7.3,100,4.4,5.7
Khalsa,Independent,2019,Surrey,Gr 12 enrolment: 55,0.0,0.6,0.0,67.2,10,98.1,11.5,4.4
Kwantlen Park,Public,2015,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,67.4,11.9,96.6,16.7,5.4
Kwantlen Park,Public,2016,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,65.9,14.8,93.2,17.3,5.2
Kwantlen Park,Public,2017,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,66.7,11.3,97.2,15.3,5.9
Kwantlen Park,Public,2018,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,70.5,6.8,94.6,19,6.3
Kwantlen Park,Public,2019,Surrey,Gr 12 enrolment: 273,11.3,10.8,17.5,66.3,12.3,89.4,21.1,3.3
L A Matheson,Public,2015,Surrey,Gr 12 enrolment: 233,10.9,13.7,0.0,62.2,20.1,90.7,18.3,3.8
L A Matheson,Public,2016,Surrey,Gr 12 enrolment: 233,10.9,13.7,0.0,61.4,22.6,93,21.3,3.3
L A Matheson,Public,2017,Surrey,Gr 12 enrolment: 233,10.9,13.7,0.0,62.4,16.3,94.5,18.7,4
L A Matheson,Public,2018,Surrey,Gr 12 enrolment: 233,10.9,13.7,0.0,65.6,11.9,94.2,12.5,5.7
L A Matheson,Public,2019,Surrey,Gr 12 enrolment: 233,10.9,13.7,0.0,62.6,14.2,91.7,23,3.5
Lord Tweedsmuir,Public,2015,Surrey,Gr 12 enrolment: 395,1.8,14.5,2.8,67.9,8.8,94.1,17.1,6.1
Lord Tweedsmuir,Public,2016,Surrey,Gr 12 enrolment: 395,1.8,14.5,2.8,68.6,9,95.7,13.4,6.4
Lord Tweedsmuir,Public,2017,Surrey,Gr 12 enrolment: 395,1.8,14.5,2.8,71.3,3.7,96.2,16.5,7.6
Lord Tweedsmuir,Public,2018,Surrey,Gr 12 enrolment: 395,1.8,14.5,2.8,72.6,4.2,98.7,5.8,7.7
Lord Tweedsmuir,Public,2019,Surrey,Gr 12 enrolment: 395,1.8,14.5,2.8,69.9,3.6,95.2,11.7,6.6
North Surrey,Public,2015,Surrey,Gr 12 enrolment: 299,6.5,11.5,0.0,71,6.1,97.4,6.6,7
North Surrey,Public,2016,Surrey,Gr 12 enrolment: 299,6.5,11.5,0.0,69.1,9.5,95.4,9,6.5
North Surrey,Public,2017,Surrey,Gr 12 enrolment: 299,6.5,11.5,0.0,68.4,10.7,95.6,13.3,6.4
North Surrey,Public,2018,Surrey,Gr 12 enrolment: 299,6.5,11.5,0.0,68.9,9.9,94.6,15,5.9
North Surrey,Public,2019,Surrey,Gr 12 enrolment: 299,6.5,11.5,0.0,67.2,8,96.6,8.9,5.9
Pacific Academy,Independent,2015,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,74.3,3.5,99.1,0,7.9
Pacific Academy,Independent,2016,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,74.4,2.7,99.2,0,8
Pacific Academy,Independent,2017,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,77.3,3.3,100,0,8.7
Pacific Academy,Independent,2018,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,81.6,0,100,0,9.7
Pacific Academy,Independent,2019,Surrey,Gr 12 enrolment: 115,1.0,7.0,0.0,77.2,0.9,100,1.4,8.7
Panorama Ridge,Public,2015,Surrey,Gr 12 enrolment: 304,5.3,8.1,12.6,67.7,9.7,95.1,9.7,5.9
Panorama Ridge,Public,2016,Surrey,Gr 12 enrolment: 304,5.3,8.1,12.6,67.6,10.6,95.2,7.3,6.1
Panorama Ridge,Public,2017,Surrey,Gr 12 enrolment: 304,5.3,8.1,12.6,68.1,5.5,95.7,10.6,6.6
Panorama Ridge,Public,2018,Surrey,Gr 12 enrolment: 304,5.3,8.1,12.6,68.9,7.8,96.2,9.9,6.3
Panorama Ridge,Public,2019,Surrey,Gr 12 enrolment: 304,5.3,8.1,12.6,68.2,8.1,97.2,6.7,6.1
Princess Margaret,Public,2015,Surrey,Gr 12 enrolment: 278,17.9,10.4,0.0,69.5,8.3,96.4,13.8,6.9
Princess Margaret,Public,2016,Surrey,Gr 12 enrolment: 278,17.9,10.4,0.0,66.6,11.6,98.3,11,6.2
Princess Margaret,Public,2017,Surrey,Gr 12 enrolment: 278,17.9,10.4,0.0,65.8,9.4,99.1,12.4,6.3
Princess Margaret,Public,2018,Surrey,Gr 12 enrolment: 278,17.9,10.4,0.0,65.5,12.3,95,16.9,5.1
Princess Margaret,Public,2019,Surrey,Gr 12 enrolment: 278,17.9,10.4,0.0,65.5,10.9,91.9,18,4.2
Queen Elizabeth,Public,2015,Surrey,Gr 12 enrolment: 288,6.1,10.2,0.0,64,18.5,94.2,21.1,4.1
Queen Elizabeth,Public,2016,Surrey,Gr 12 enrolment: 288,6.1,10.2,0.0,64,17.2,93.1,20,4.5
Queen Elizabeth,Public,2017,Surrey,Gr 12 enrolment: 288,6.1,10.2,0.0,61.7,18.7,87.4,24,3.6
Queen Elizabeth,Public,2018,Surrey,Gr 12 enrolment: 288,6.1,10.2,0.0,64.3,17.6,89.8,20.7,3.1
Queen Elizabeth,Public,2019,Surrey,Gr 12 enrolment: 288,6.1,10.2,0.0,63.9,18.9,91.9,23.9,2.6
Regent Christian,Independent,2015,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,68.3,13.7,96.5,5.8,5.8
Regent Christian,Independent,2016,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,69.5,8.6,96,3.9,6.1
Regent Christian,Independent,2017,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,59.7,18.5,94.5,2.3,3.8
Regent Christian,Independent,2018,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,65.1,11.5,100,0,5.2
Regent Christian,Independent,2019,Surrey,Gr 12 enrolment: 54,0.3,5.0,0.0,68.9,13.7,96.2,2.5,5.3
Semiahmoo,Public,2015,Surrey,Gr 12 enrolment: 353,10.8,8.6,0.0,74.6,5.2,97.1,4.6,7.8
Semiahmoo,Public,2016,Surrey,Gr 12 enrolment: 353,10.8,8.6,0.0,75.5,5.2,97.7,5.8,7.9
Semiahmoo,Public,2017,Surrey,Gr 12 enrolment: 353,10.8,8.6,0.0,72.1,7.8,99.1,4.1,7.5
Semiahmoo,Public,2018,Surrey,Gr 12 enrolment: 353,10.8,8.6,0.0,76.1,4.9,96.9,5.9,7.8
Semiahmoo,Public,2019,Surrey,Gr 12 enrolment: 353,10.8,8.6,0.0,74.1,4.7,98.5,7.1,7.2
Southridge,Independent,2015,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,86.2,0.3,98.6,2.2,9.6
Southridge,Independent,2016,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,87.4,0,100,1.5,9.9
Southridge,Independent,2017,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,82.5,0,100,2,10
Southridge,Independent,2018,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,85.1,0,100,1.9,9.3
Southridge,Independent,2019,Surrey,Gr 12 enrolment: 70,0.0,6.2,0.0,85.4,0,100,0,10
Sullivan Heights,Public,2015,Surrey,Gr 12 enrolment: 329,7.1,9.0,0.0,68.4,8.3,96.5,9.1,6.6
Sullivan Heights,Public,2016,Surrey,Gr 12 enrolment: 329,7.1,9.0,0.0,67.3,12.1,95.9,11.4,5.9
Sullivan Heights,Public,2017,Surrey,Gr 12 enrolment: 329,7.1,9.0,0.0,68.1,8.2,91.9,12.5,5.9
Sullivan Heights,Public,2018,Surrey,Gr 12 enrolment: 329,7.1,9.0,0.0,70.3,4.2,95.6,12,6.5
Sullivan Heights,Public,2019,Surrey,Gr 12 enrolment: 329,7.1,9.0,0.0,68.4,7.5,95.4,11.3,5.5
Surrey Christian,Independent,2015,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,71.9,7,99.1,6,6.7
Surrey Christian,Independent,2016,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,70.5,7.7,97.8,2.3,6.4
Surrey Christian,Independent,2017,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,62.4,14.3,99,4.2,4.9
Surrey Christian,Independent,2018,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,71,6.7,100,12.6,6.3
Surrey Christian,Independent,2019,Surrey,Gr 12 enrolment: 107,1.9,8.7,0.1,70.7,7.7,100,4.9,6.4
Tamanawis,Public,2015,Surrey,Gr 12 enrolment: 304,9.9,8.2,0.0,68.9,9.8,96.5,9.3,6.2
Tamanawis,Public,2016,Surrey,Gr 12 enrolment: 304,9.9,8.2,0.0,67.1,11.6,96.6,9.7,6.2
Tamanawis,Public,2017,Surrey,Gr 12 enrolment: 304,9.9,8.2,0.0,66.9,8.2,95.2,10.8,6.3
Tamanawis,Public,2018,Surrey,Gr 12 enrolment: 304,9.9,8.2,0.0,69.1,6.3,95.7,15.2,6.2
Tamanawis,Public,2019,Surrey,Gr 12 enrolment: 304,9.9,8.2,0.0,66.7,9.2,95.7,11.3,5.3
Britannia,Public,2015,Vancouver,Gr 12 enrolment: 164,1.6,29.1,0.2,61.1,23.8,92.3,16.5,3.6
Britannia,Public,2016,Vancouver,Gr 12 enrolment: 164,1.6,29.1,0.2,62.8,19.3,96.5,21.7,4.1
Britannia,Public,2017,Vancouver,Gr 12 enrolment: 164,1.6,29.1,0.2,62.5,18.9,85.1,35.2,2.4
Britannia,Public,2018,Vancouver,Gr 12 enrolment: 164,1.6,29.1,0.2,67,13,92.9,14.4,4.5
Britannia,Public,2019,Vancouver,Gr 12 enrolment: 164,1.6,29.1,0.2,66.4,13.2,96.7,26.8,4.5
Crofton House,Independent,2015,Vancouver,Gr 12 enrolment: 98,0.0,4.9,0.0,84.9,0.2,100,1.5,10
Crofton House,Independent,2016,Vancouver,Gr 12 enrolment: 98,0.0,4.9,0.0,86.3,0.8,100,2,10
Crofton House,Independent,2017,Vancouver,Gr 12 enrolment: 98,0.0,4.9,0.0,82.9,0,100,0,10
Crofton House,Independent,2018,Vancouver,Gr 12 enrolment: 98,0.0,4.9,0.0,84.3,0,99,1.7,9.9
Crofton House,Independent,2019,Vancouver,Gr 12 enrolment: 98,0.0,4.9,0.0,82.6,0,100,0.6,10
David Thompson,Public,2015,Vancouver,Gr 12 enrolment: 270,8.4,8.8,0.0,71.2,7.3,94.7,17.2,6.4
David Thompson,Public,2016,Vancouver,Gr 12 enrolment: 270,8.4,8.8,0.0,70.7,7.3,95.5,17.9,6.9
David Thompson,Public,2017,Vancouver,Gr 12 enrolment: 270,8.4,8.8,0.0,66.7,10.2,93.8,14.9,5.8
David Thompson,Public,2018,Vancouver,Gr 12 enrolment: 270,8.4,8.8,0.0,67.8,7.9,90.9,20.2,5
David Thompson,Public,2019,Vancouver,Gr 12 enrolment: 270,8.4,8.8,0.0,70,5.6,96.4,12.6,7.1
Eric Hamber,Public,2015,Vancouver,Gr 12 enrolment: 329,3.7,13.0,0.1,74.3,3.8,95.6,19.4,7.4
Eric Hamber,Public,2016,Vancouver,Gr 12 enrolment: 329,3.7,13.0,0.1,73.7,5.9,96.4,23.8,7.3
Eric Hamber,Public,2017,Vancouver,Gr 12 enrolment: 329,3.7,13.0,0.1,70.1,10.3,94.7,18.6,6.2
Eric Hamber,Public,2018,Vancouver,Gr 12 enrolment: 329,3.7,13.0,0.1,73.7,5.7,93.4,18.4,6.8
Eric Hamber,Public,2019,Vancouver,Gr 12 enrolment: 329,3.7,13.0,0.1,73.2,3.6,95.3,19.6,6.8
Gladstone,Public,2015,Vancouver,Gr 12 enrolment: 186,4.6,14.7,0.0,66.9,13.1,97.9,11.6,6
Gladstone,Public,2016,Vancouver,Gr 12 enrolment: 186,4.6,14.7,0.0,66,11.7,96.5,17.9,5.6
Gladstone,Public,2017,Vancouver,Gr 12 enrolment: 186,4.6,14.7,0.0,63.8,15.5,91.2,22.4,4.7
Gladstone,Public,2018,Vancouver,Gr 12 enrolment: 186,4.6,14.7,0.0,64.4,15.1,90.9,17.6,4.7
Gladstone,Public,2019,Vancouver,Gr 12 enrolment: 186,4.6,14.7,0.0,66.7,9.6,93.1,24.2,5
John Oliver,Public,2015,Vancouver,Gr 12 enrolment: 228,21.4,15.7,0.0,67.1,9.6,93.8,25.7,5.8
John Oliver,Public,2016,Vancouver,Gr 12 enrolment: 228,21.4,15.7,0.0,64,16,90.7,23.4,4.6
John Oliver,Public,2017,Vancouver,Gr 12 enrolment: 228,21.4,15.7,0.0,60.2,20.6,91,33.4,2.7
John Oliver,Public,2018,Vancouver,Gr 12 enrolment: 228,21.4,15.7,0.0,65.8,9.7,94.8,34.1,5.1
John Oliver,Public,2019,Vancouver,Gr 12 enrolment: 228,21.4,15.7,0.0,65.1,7.6,95.3,28.1,5.2
Killarney,Public,2015,Vancouver,Gr 12 enrolment: 442,5.3,14.0,0.0,69.2,9.1,94.1,27.4,5.7
Killarney,Public,2016,Vancouver,Gr 12 enrolment: 442,5.3,14.0,0.0,69.2,9.8,95.3,26.8,6.1
Killarney,Public,2017,Vancouver,Gr 12 enrolment: 442,5.3,14.0,0.0,67.8,10.6,93.5,30,5.2
Killarney,Public,2018,Vancouver,Gr 12 enrolment: 442,5.3,14.0,0.0,68.4,10.1,93,30.4,5
Killarney,Public,2019,Vancouver,Gr 12 enrolment: 442,5.3,14.0,0.0,67.8,8.4,93.4,31.5,4.5
King David,Independent,2015,Vancouver,Gr 12 enrolment: 56,0.0,10.3,0.0,75.9,0.6,100,0.5,8.5
King David,Independent,2016,Vancouver,Gr 12 enrolment: 56,0.0,10.3,0.0,76.4,1.4,100,1.7,8.6
King David,Independent,2017,Vancouver,Gr 12 enrolment: 56,0.0,10.3,0.0,75.8,0,100,3.4,9.1
King David,Independent,2018,Vancouver,Gr 12 enrolment: 56,0.0,10.3,0.0,75.8,0,100,4,8.7
King David,Independent,2019,Vancouver,Gr 12 enrolment: 56,0.0,10.3,0.0,80.2,0,96.4,3.6,8.7
King George,Public,2015,Vancouver,Gr 12 enrolment: 80,6.0,11.5,0.0,67.5,11.7,97.3,16.2,6
